fromId,toId,walk_time
06085503105,06085503504,60
06085503105,06085501700,54
06085503105,06085500901,56
06085503105,06085502301,97
06085503105,06085500600,106
06085503105,06085504102,109
06085503105,06085503115,97
06085503105,06085503304,94
06085503105,06085500800,74
06085503105,06085504002,81
06085503105,06085501900,94
06085503105,06085502202,115
06085503105,06085503709,98
06085503105,06085501102,79
06085503105,06085502500,98
06085503105,06085503214,75
06085503105,06085502002,114
06085503105,06085500300,100
06085503105,06085502400,78
06085503105,06085503213,72
06085503105,06085501101,81
06085503105,06085501300,50
06085503105,06085502302,91
06085503105,06085503903,113
06085503105,06085503305,105
06085503105,06085503602,56
06085503105,06085501800,69
06085503710,06085503306,72
06085503710,06085503323,113
06085503710,06085503401,60
06085503710,06085503110,60
06085503710,06085503118,101
06085503710,06085503703,30
06085503710,06085503105,81
06085503710,06085503710,0
06085503710,06085503211,112
06085503710,06085500902,75
06085503710,06085501402,42
06085503710,06085501401,45
06085503710,06085503511,68
06085503710,06085503402,76
06085503710,06085503601,40
06085503710,06085503507,47
06085503710,06085503713,30
06085503710,06085503510,52
06085503710,06085503117,74
06085503710,06085500100,92
06085503710,06085503707,35
06085503710,06085503708,40
06085503710,06085501200,61
06085503710,06085501501,45
06085503710,06085501600,81
06085503710,06085503111,94
06085503710,06085503712,22
06085503710,06085501502,56
06085503710,06085503113,110
06085503710,06085504319,60
06085503710,06085503711,16
06085503710,06085503321,89
06085503710,06085503509,87
06085503710,06085503112,90
06085503710,06085503508,66
06085503710,06085504322,115
06085503710,06085501000,76
06085503710,06085500200,108
06085503710,06085504321,97
06085503710,06085503315,115
06085503710,06085504101,65
06085503710,06085503122,114
06085503710,06085504001,40
06085503710,06085503506,49
06085503710,06085504317,87
06085503710,06085503504,53
06085503710,06085501700,103
06085503710,06085500901,77
06085503710,06085503902,57
06085503710,06085504314,118
06085503710,06085500600,118
06085503710,06085504316,86
06085503710,06085504102,63
06085503710,06085504311,93
06085503710,06085504201,80
06085503710,06085503304,106
06085503710,06085500800,97
06085503710,06085504002,23
06085503710,06085503709,43
06085503710,06085501102,69
06085503710,06085503802,80
06085503710,06085503803,76
06085503710,06085500300,111
06085503710,06085501101,87
06085503710,06085503804,62
06085503710,06085501300,61
06085503710,06085504318,109
06085503710,06085503322,106
06085503710,06085504307,91
06085503710,06085503903,43
06085503710,06085503305,103
06085503710,06085503602,31
06085503710,06085504323,116
06085503003,06085503108,52
06085503003,06085512020,90
06085503003,06085503116,70
06085503003,06085511913,103
06085503003,06085503003,0
06085503003,06085512026,90
06085503003,06085503121,94
06085503003,06085502800,73
06085503003,06085512019,76
06085503003,06085503001,37
06085503003,06085512023,119
06085503003,06085503002,21
06085503003,06085512047,105
06085503003,06085511916,80
06085503003,06085503218,106
06085503003,06085506803,81
06085503003,06085502906,67
06085503003,06085503113,100
06085503003,06085503123,68
06085503003,06085503217,106
06085503003,06085502603,93
06085503003,06085512025,67
06085503003,06085502908,45
06085503003,06085511914,86
06085503003,06085502907,25
06085503003,06085502701,99
06085503003,06085506802,105
06085503003,06085506804,113
06085503003,06085503204,119
06085503003,06085502604,112
06085503003,06085501700,117
06085503003,06085502901,81
06085503003,06085512027,68
06085503003,06085511915,57
06085503003,06085512021,106
06085503003,06085502301,78
06085503003,06085502601,78
06085503003,06085512005,48
06085503003,06085502702,100
06085503003,06085512024,45
06085503003,06085502909,30
06085503003,06085501900,115
06085503003,06085502202,92
06085503003,06085512052,75
06085503003,06085502201,110
06085503003,06085502902,64
06085503003,06085512053,88
06085503003,06085502500,56
06085503003,06085503214,118
06085503003,06085502400,83
06085503003,06085502903,48
06085503003,06085502910,44
06085503003,06085502302,92
06085503003,06085501800,111
06085509201,06085509107,69
06085509201,06085510803,84
06085509201,06085509902,79
06085509201,06085509201,0
06085509201,06085510300,87
06085509201,06085509202,24
06085509201,06085509500,39
06085509201,06085509700,43
06085509201,06085508404,108
06085509201,06085510900,105
06085509201,06085509404,65
06085509201,06085508602,101
06085509201,06085509106,75
06085509201,06085509403,50
06085509201,06085509901,68
06085509201,06085509600,25
06085509201,06085508704,118
06085509201,06085509108,32
06085509201,06085510801,85
06085509201,06085511701,118
06085509201,06085508601,84
06085509201,06085509105,63
06085509201,06085508800,88
06085509201,06085508900,118
06085509201,06085511702,115
06085509201,06085510600,110
06085509201,06085509401,77
06085509201,06085509802,51
06085509201,06085510802,72
06085509201,06085510001,94
06085509201,06085510700,107
06085509201,06085510500,96
06085509201,06085509109,39
06085509201,06085509102,62
06085509201,06085509302,57
06085509201,06085511000,111
06085509201,06085509303,40
06085509201,06085508401,102
06085509201,06085504601,85
06085509201,06085509304,58
06085509201,06085510200,84
06085509201,06085510400,77
06085509201,06085504803,119
06085509201,06085509000,97
06085509201,06085504700,52
06085508505,06085509107,93
06085508505,06085509902,119
06085508505,06085508505,0
06085508505,06085506102,114
06085508505,06085508001,95
06085508505,06085508404,64
06085508505,06085505303,83
06085508505,06085507903,116
06085508505,06085506103,95
06085508505,06085505402,80
06085508505,06085508602,53
06085508505,06085508403,58
06085508505,06085508003,87
06085508505,06085509106,85
06085508505,06085504806,94
06085508505,06085505500,97
06085508505,06085506000,110
06085508505,06085504805,103
06085508505,06085508101,71
06085508505,06085508202,42
06085508505,06085508704,59
06085508505,06085508508,18
06085508505,06085505302,69
06085508505,06085508503,38
06085508505,06085506203,111
06085508505,06085507805,108
06085508505,06085506101,84
06085508505,06085508601,72
06085508505,06085509105,97
06085508505,06085505403,68
06085508505,06085508800,69
06085508505,06085508900,77
06085508505,06085508203,49
06085508505,06085505600,117
06085508505,06085508004,101
06085508505,06085507806,99
06085508505,06085508303,76
